id	product_description	Silhouette	Fabric	Neckline	Sleeve	Length	Embellishment	Color	Category
1	Floor length chiffon bridesmaid dress with V neckline in sage green	Gown	Chiffon	V Neck	Sleeveless	Full Length	None	Green	Wedding Dress
2	Sparkly sequin fitted prom gown with illusion neckline	Sheath	Satin	Illusion	Sleeveless	Full Length	Sequins	Black	Gown
3	Off shoulder satin ball gown in royal navy	Gown	Satin	Off Shoulder	Sleeveless	Full Length	None	Navy	Wedding Dress
4	Lace mermaid wedding dress with long sleeves	Mermaid	Lace	Boat Neck	Long Sleeve	Full Length	Lace	White	Wedding Dress
5	Short cocktail dress with feather trim detail	Dress	Satin	Round Neck	Sleeveless	Short	None	Black	Cocktail Dress
6	Tulle A line evening gown with floral embroidery	A-Line	Tulle	V Neck	Sleeveless	Full Length	Embroidery	Pink	Gown
7	Jersey sheath dress with ruched waist	Sheath	Jersey	Round Neck	Sleeveless	Midi	Ruched	Blue	Dress
8	Strapless glitter gown with layered skirt	Gown	Silk	Sweetheart	Sleeveless	Full Length	Glitter	Gold	Gown
9	One shoulder chiffon dress with slit	Dress	Chiffon	One Shoulder	Sleeveless	Full Length	None	Red	Dress
10	Velvet winter formal dress with puff sleeves	Dress	Velvet	High Neck	Puff Sleeve	Midi	None	Black	Party Dress
11	Silk wedding dress with square neckline	Dress	Silk	Square Neck	Sleeveless	Full Length	None	White	Wedding Dress
12	Denim casual short sleeve dress	Dress	Denim	Collar	Short Sleeve	Midi	None	Blue	Dress
13	Satin red cocktail dress	Cocktail Dress	Satin	Round Neck	Sleeveless	Short	None	Red	Cocktail Dress
14	Lace gown with boat neckline	Gown	Lace	Boat Neck	Long Sleeve	Full Length	Lace	White	Gown
15	Cotton midi dress with crew neck	Dress	Cotton	Crew Neck	Short Sleeve	Midi	None	Beige	Dress
16	Organza party dress with ruffles	Party Dress	Organza	V Neck	Sleeveless	Short	Ruffles	Pink	Party Dress
17	Velvet gown with high neck	Gown	Velvet	High Neck	Long Sleeve	Full Length	None	Black	Gown
18	Chiffon dress with halter neck	Dress	Chiffon	Halter	Sleeveless	Midi	None	Blue	Dress
19	Satin mermaid gown with slit	Mermaid	Satin	V Neck	Sleeveless	Full Length	None	Red	Gown
20	Tulle wedding dress with embroidery	Wedding Dress	Tulle	Sweetheart	Sleeveless	Full Length	Embroidery	White	Wedding Dress
21	Jersey bodycon dress	Dress	Jersey	V Neck	Sleeveless	Short	None	Black	Dress
22	Linen summer dress	A-Line	Linen	Round Neck	Short Sleeve	Midi	None	White	Dress
